Species,Genus,Minimum shell length,Maximum shell length,Average shell length,Minimum shell width,Maximum shell width,Average shell width,Minimum shell depth,Maximum shell depth,Average shell depth,R1,R2,Shell (test) shape,Minimum aperture length,Maximum aperture length,Average aperture length,Minimum aperture width,Maximum aperture width,Average aperture width,R3,R4,Position of the aperture,Degree of invagination of aperture,Aperture rim ,Presence/absence of collar,Shell covering,Presence/absence of internal partitions,Presence/absence of spines or horns,Feeding type
Nebela minor,Nebela,80,100,90,55,70,62.5,NA,NA,34.06,0.69,0.54,pyriform,22,28,25,NA,NA,13.63,0.4,0.54,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Nebela parvula,Nebela,78,90,84,55,58,56.5,NA,NA,39.55,0.67,0.7,pyriform,18,19,18.5,NA,NA,12.95,0.33,0.7,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Nebela pulcherrima,Nebela,180,185,182.5,NA,NA,100,NA,NA,66.7,0.55,0.67,pyriform,NA,NA,40,NA,NA,26.68,0.4,0.67,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Nebela tincta,Nebela,75,95,85,55,64,59.5,NA,NA,38.79,0.7,0.65,ovoid,15,30,22.5,NA,NA,14.67,0.38,0.65,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Netzelia compressa,Netzelia,160,200,180,104,152,128,NA,NA,96,0.71,0.75,ovoid,56,64,60,NA,NA,45,0.47,0.75,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Netzelia corona,Netzelia,105,380,242.5,NA,NA,242.5,NA,NA,242.5,1,1,hemisphere,NA,NA,104.61,NA,NA,104.61,0.43,1,straight terminal,absent,denticular,absence,xenosomes,absence,presence,bacterivory
Netzelia gramen,Netzelia,60,117,88.5,47,112,79.5,47,112,79.5,0.9,1,ovoid,17,39,28,NA,NA,28,0.35,1,straight terminal,absent,lobbed,presence,xenosomes,absence,absence,bacterivory
Netzelia levanderi,Netzelia,78,116,97,51,78,64.5,NA,NA,64.5,0.66,1,ovoid,32,42,37,NA,NA,37,0.57,1,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Netzelia lithophila,Netzelia,93,140,116.5,67,99,83,NA,NA,83,0.71,1,ovoid,32,47,39.5,NA,NA,39.5,0.48,1,straight terminal,absent,curved,presence,xenosomes,absence,absence,bacterivory
Netzelia oviformis,Netzelia,67,87,77,45,67,56,45,67,56,0.73,1,ovoid,17,26,21.5,17,26,21.5,0.38,1,straight terminal,absent,lobbed,presence,xenosomes,absence,absence,bacterivory
Netzelia tuberculata,Netzelia,114,149,131.5,104,130,117,NA,NA,117,0.89,1,ovoid,29,44,36.5,29,44,36.5,0.31,1,straight terminal,absent,lobbed,presence,xenosomes,absence,absence,mixotrophy
Netzelia wailesi,Netzelia,97,121,109,74,90,82,NA,NA,82,0.75,1,ovoid,26,36,31,26,36,31,0.38,1,straight terminal,absent,lobbed,absence,xenosomes,absence,absence,bacterivory
Oopyxis cyclostoma,Oopyxis,50,80,65,40,50,45,NA,NA,45,0.69,1,ovoid,20,25,22.5,20,25,22.5,0.5,1,shifted ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Padaungiella lageniformis,Padaungiella,95,145,120,NA,NA,57.8,NA,NA,38.55,0.48,0.67,pyriform,NA,NA,24.4,NA,NA,16.27,0.42,0.67,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Padaungiella tubulata,Padaungiella,63,73,68,27,34,30.5,10,17,13.5,0.45,0.44,pyriform,11,13,12,4.87,5.75,5.31,0.39,0.44,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Padaungiella wailesi,Padaungiella,75,100,87.5,NA,NA,42.17,NA,NA,27.29,0.48,0.65,pyriform,NA,NA,21.2,NA,NA,13.72,0.5,0.65,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Padaungiella wetekampi,Padaungiella,149,159,154,60,70,65,30,47,38.5,0.42,0.59,pyriform,26,33,29.5,NA,NA,17.47,0.45,0.59,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Paramphitrema pontica,Paramphitrema,NA,NA,42,NA,NA,17,NA,NA,13,0.4,0.76,cylinder,NA,NA,4,NA,NA,3.06,0.24,0.76,amphistomic,absent,straight,presence,xenosomes,absence,absence,mixotrophy
Paraquadrula irregularis,Paraquadrula,26,32,29,24,30,27,16,21,18.5,0.93,0.69,ovoid,8,13,10.5,5.48,8.91,7.19,0.39,0.69,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Paulinella chromatophora,Paulinella,20,32,26,NA,NA,20.12,NA,NA,20.12,0.77,1,pyriform,NA,NA,4.91,NA,NA,4.91,0.24,1,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
