Species,Genus,Minimum shell length,Maximum shell length,Average shell length,Minimum shell width,Maximum shell width,Average shell width,Minimum shell depth,Maximum shell depth,Average shell depth,R1,R2,Shell (test) shape,Minimum aperture length,Maximum aperture length,Average aperture length,Minimum aperture width,Maximum aperture width,Average aperture width,R3,R4,Position of the aperture,Degree of invagination of aperture,Aperture rim ,Presence/absence of collar,Shell covering,Presence/absence of internal partitions,Presence/absence of spines or horns,Feeding type
Alabasta longicollis,Alabasta,120,140,130,40,45,42.5,28.56,32.13,30.34,0.33,0.71,pyriform,20,22.5,21.25,14.28,16.06,15.17,0.5,0.71,straight terminal,absent,curved,presence,cleptostomes,absence,absence,mixotrophy
Alabasta militaris,Alabasta,61,77.5,67.9,31.5,53,37.7,21,32,26.5,0.56,0.7,pyriform,15.5,20.5,18,10.9,14.41,12.65,0.48,0.7,straight terminal,absent,curved,presence,cleptostomes,absence,absence,mixotrophy
Amphitrema stenostoma,Amphitrema,55,97,76,NA,NA,40,NA,NA,30,0.53,0.75,ovoid,NA,NA,14.4,NA,NA,10.8,0.36,0.75,amphistomic,absent,curved,absence,xenosomes,absence,absence,mixotrophy
Amphitrema wrightianum,Amphitrema,55,106,80.5,42.08,81.09,61.58,27.7,53.39,40.55,0.76,0.66,cylinder,8.08,15.58,11.83,4.04,7.79,5.92,0.19,0.5,amphistomic,absent,curved,absence,xenosomes,absence,absence,mixotrophy
Antarcella atava,Antarcella,40,46,43,50,70,60,50,70,60,1.4,1,patelliform,16.7,23.3,20,16.7,23.3,20,0.33,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella brasiliensis,Arcella,20,40,30,60,80,70,60,80,70,2.33,1,patelliform,10,20,15,10,20,15,0.21,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella conica,Arcella,31,48,39.5,60,80,70,60,80,70,1.77,1,patelliform,20,22,21,20,22,21,0.3,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella costata,Arcella,NA,NA,44,65,100,82.5,65,100,82.5,1.88,1,patelliform,NA,NA,17,NA,NA,17,0.21,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella crenulata,Arcella,52,58,55,112,224,168,112,224,168,3.05,1,patelliform,24,104,64,24,104,64,0.38,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella excavata,Arcella,36,45,40.5,53,70,61.5,53,70,61.5,1.52,1,patelliform,18,22,20,18,22,20,0.33,1,central ventral,strongly,curved,presence,organic,absence,absence,bacterivory
Arcella gibbosa,Arcella,50,75,62.5,80,110,95,80,110,95,1.52,1,patelliform,17,30,23.5,17,30,23.5,0.25,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella hemisphaerica,Arcella,23,37,30,38,68,53,38,68,53,1.77,1,patelliform,10,20,15,10,20,15,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella hemisphaerica undulata,Arcella,36,38,37,45,60,52.5,45,60,52.5,1.42,1,patelliform,14,16,15,14,16,15,0.29,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella intermedia,Arcella,35,50,42.5,65,75,70,65,75,70,1.65,1,patelliform,16,23,19.5,16,23,19.5,0.28,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella lobostoma,Arcella,29,32,30.5,42,54,48,42,54,48,1.57,1,patelliform,9,18,13.5,9,18,13.5,0.28,1,shifted ventral,slightly,lobbed,absence,organic,absence,absence,bacterivory
Arcella mitrata,Arcella,116,162,139,100,180,140,100,180,140,1.01,1,patelliform,36,48,42,36,48,42,0.3,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella multilobata,Arcella,28,31,29.5,84,98,91,84,98,91,3.08,1,patelliform,20,24,22,20,24,22,0.24,1,central ventral,strongly,lobbed,absence,organic,absence,absence,bacterivory
Arcella rotundata,Arcella,25,30,27.5,47,54,50.5,47,54,50.5,1.84,1,patelliform,NA,NA,17,NA,NA,17,0.34,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella rotundata alta,Arcella,22,32,27,36,53,44.5,36,53,44.5,1.65,1,patelliform,10,15,12.5,10,15,12.5,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella rotundata stenostoma,Arcella,18,28,23,39,52,45.5,39,52,45.5,1.98,1,patelliform,9.3,16,12.65,9.3,16,12.65,0.28,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella rotundata stenostoma undulata,Arcella,18,28,23,39,52,45.5,39,52,45.5,1.98,1,patelliform,9.3,16,12.65,9.3,16,12.65,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella vulgaris,Arcella,52,73,62.5,100,145,122.5,100,145,122.5,1.96,1,patelliform,30,47,38.5,30,47,38.5,0.31,1,central ventral,slightly,straight,presence,organic,absence,absence,mixotrophy
Arcella vulgaris penardi,Arcella,43,58,50.5,73,92,82.5,73,92,82.5,1.63,1,patelliform,17.5,33,25.25,17.5,33,25.25,0.31,1,central ventral,slightly,straight,presence,organic,absence,absence,mixotrophy
Arcella vulgaris polymorpha,Arcella,55,63,59,100,115,107.5,100,115,107.5,1.82,1,patelliform,32,47,39.5,32,47,39.5,0.37,1,central ventral,slightly,straight,absence,organic,absence,absence,mixotrophy
Arcella vulgaris undulata,Arcella,52,73,62.5,100,145,122.5,100,145,122.5,1.96,1,patelliform,30,47,38.5,30,47,38.5,0.31,1,central ventral,slightly,straight,absence,organic,absence,absence,mixotrophy
Archerella flavum,Archerella,40,75,57.5,15,45,30,14,28,21,0.52,0.7,cylinder,6,12,9,4.2,8.4,6.3,0.3,0.7,amphistomic,absent,straight,absence,organic,absence,absence,bacterivory
Archerella jollyi,Archerella,86,100,93,60,71,65.5,20,30,25,0.7,0.38,cylinder,12,14.2,13.1,4,4.7,4.35,0.2,0.33,amphistomic,absent,straight,absence,organic,absence,absence,bacterivory
Argynnia caudata,Argynnia,76,90,83,58,70,64,NA,NA,22.4,0.77,0.35,ovoid,29,35,32,NA,NA,11.2,0.5,0.35,straight terminal,absent,curved,absence,cleptostomes,absence,presence,predatory
Argynnia dentistoma,Argynnia,66,111,88.5,58,115,86.5,40,90,65,0.98,0.75,ovoid,19,37,28,14,26,20,0.32,0.71,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia dentistoma hesperia,Argynnia,155,190,172.5,100,142,121,50,80,65,0.7,0.54,ovoid,32,50,41,17.19,26.86,22.02,0.34,0.54,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia dentistoma lacustris,Argynnia,120,206,163,100,143,121.5,64,90,77,0.75,0.63,pyriform,24,45,34.5,15.21,28.52,21.86,0.28,0.63,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia dentistoma laevis,Argynnia,NA,NA,100,NA,NA,100,NA,NA,100,1,1,ovoid,NA,NA,33.3,NA,NA,33.3,0.33,1,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia gertrudeana,Argynnia,231,279,255,121,183,152,77,100,88.5,0.6,0.58,pyriform,40,60,50,23.29,34.93,29.11,0.33,0.58,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia retorta,Argynnia,120,170,145,58,70,64,NA,NA,64,0.44,1,pyriform,20,25,22.5,20,25,22.5,0.35,1,sub terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia spicata,Argynnia,120,140,130,100,125,112.5,NA,NA,68.51,0.87,0.61,ovoid,32,40,36,NA,NA,21.92,0.32,0.61,straight terminal,absent,curved,absence,cleptostomes,absence,presence,predatory
Argynnia vitraea,Argynnia,155,230,192.5,102,145,123.5,56.1,79.75,67.92,0.64,0.55,ovoid,28,37,32.5,15.4,20.35,17.88,0.26,0.55,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia vitraea minor,Argynnia,115,155,135,70,100,85,38.5,55,46.75,0.63,0.55,ovoid,28,37,32.5,15.4,20.35,17.88,0.38,0.55,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia vitraea sphagni,Argynnia,95,120,107.5,74.96,94.68,84.82,41.23,52.07,46.65,0.79,0.55,ovoid,28,37,32.5,15.4,20.35,17.88,0.38,0.55,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Assulina collaris,Assulina,41,57,49,22,34,28,15,19,17,0.57,0.61,ovoid,6,10,8,3.64,6.07,4.86,0.29,0.61,straight terminal,absent,straight,presence,idiosomes,absence,absence,bacterivory
Assulina muscorum,Assulina,37,53,45,23,50,36.5,16,22,19,0.81,0.52,ovoid,6,16,11,3.12,8.33,5.73,0.3,0.52,straight terminal,absent,denticular,absence,idiosomes,absence,absence,bacterivory
Assulina scandinavica,Assulina,80,120,100,70,110,90,39,42,40.5,0.9,0.45,ovoid,15,30,22.5,6.75,13.5,10.12,0.25,0.45,straight terminal,absent,denticular,absence,idiosomes,absence,absence,bacterivory
Assulina seminulum,Assulina,70,92,81,50,75,62.5,20,35,27.5,0.77,0.44,ovoid,15,35,25,6.6,15.4,11,0.4,0.44,straight terminal,absent,denticular,absence,idiosomes,absence,absence,bacterivory
Awerintzewia cyclostoma,Awerintzewia,135,180,157.5,120,132,126,63.84,70.22,67.03,0.8,0.53,ovoid,40,52,46,21.28,27.66,24.47,0.37,0.53,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Bullinularia indica,Bullinularia,160,179,169.5,190,250,220,100,132,116,1.3,0.53,hemisphere,57,93,75,30.05,49.04,39.55,0.34,0.53,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Bullinularia indica minor,Bullinularia,100,105,102.5,152,170,161,80.1,89.59,84.85,1.57,0.53,hemisphere,NA,NA,77.12,NA,NA,40.64,0.48,0.53,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Campascus minutus,Campascus,20,60,40,27.28,81.84,54.56,NA,NA,54.56,1.36,1,pyriform,12.18,36.54,24.36,12.18,36.54,24.36,0.45,1,sub terminal,absent,straight,presence,xenosomes,absence,absence,bacterivory
Centropyxis aculeata,Centropyxis,12.4,24,18.2,110,160,135,110,160,135,7.42,1,hemisphere,31,60,45.5,31,60,45.5,0.34,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis aculeata grandis,Centropyxis,71.91,84.6,78.25,170,200,185,170,200,185,2.36,1,hemisphere,68,80,74,68,80,74,0.4,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis aculeata minima,Centropyxis,NA,NA,54,82,85,83.5,82,85,83.5,1.55,1,hemisphere,38,39,38.5,38,39,38.5,0.46,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis aculeata oblonga,Centropyxis,100,160,130,95,120,107.5,73.06,92.28,82.67,0.83,0.77,hemisphere,52.54,66.36,59.45,56.18,51.03,53.61,0.55,0.9,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis aerophila,Centropyxis,53,85,69,42,66,54,30.86,48.49,39.67,0.78,0.73,hemisphere,21,28,24.5,15,21,18,0.45,0.73,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis aerophila sphagnicola,Centropyxis,49,66,57.5,49,66,57.5,33.85,45.6,39.73,1,0.69,hemisphere,25,30,27.5,18,20,19,0.48,0.69,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis cassis,Centropyxis,55,86,70.5,45,73,59,23.67,38.4,31.03,0.84,0.53,hemisphere,28.35,45.99,37.17,14.91,24.19,19.55,0.63,0.53,shifted ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis constricta,Centropyxis,120,150,135,75,100,87.5,42.82,57.1,49.96,0.65,0.57,hemisphere,50.03,66.7,58.36,28.56,38.09,33.32,0.67,0.57,shifted ventral,strongly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis decloitrella,Centropyxis,NA,NA,87.5,NA,NA,81,NA,NA,71,0.93,0.88,hemisphere,NA,NA,35,NA,NA,30.68,0.43,0.88,shifted ventral,absent,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis deflandriana,Centropyxis,50,55,52.5,40,50,45,NA,NA,45,0.86,1,hemisphere,25,35,30,25,35,30,0.67,1,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis delicatula,Centropyxis,NA,NA,22.25,35,54,44.5,35,54,44.5,2,1,hemisphere,NA,NA,17,NA,NA,17,0.38,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis discoides,Centropyxis,60.75,121.5,91.13,150,300,225,150,300,225,2.47,1,hemisphere,67.8,135.6,101.7,67.8,135.6,101.7,0.45,1,shifted ventral,absent,lobbed,absence,xenosomes,absence,presence,mixotrophy
Centropyxis ecornis,Centropyxis,43.62,95.97,69.8,125,275,200,100,230,165,2.87,0.82,hemisphere,56.06,123.33,89.7,46.25,101.75,74,0.45,0.82,shifted ventral,slightly,lobbed,absence,xenosomes,absence,absence,bacterivory
Centropyxis elongata,Centropyxis,22,24,23,55,65,60,30,32,31,2.61,0.52,hemisphere,10,20,15,5.17,10.33,7.75,0.25,0.52,shifted ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis eurystoma,Centropyxis,33,56,44.5,50,80,65,50,80,65,1.46,1,hemisphere,21,46,33.5,21,46,33.5,0.52,1,shifted ventral,slightly,straight,presence,xenosomes,absence,absence,bacterivory
Centropyxis gibba,Centropyxis,87,95,91,96,114,105,85,95,90,1.15,0.86,hemisphere,64.03,76.04,70.04,54.88,65.18,60.03,0.67,0.86,shifted ventral,absent,straight,absence,xenosomes,absence,presence,bacterivory
Centropyxis hemisphaerica,Centropyxis,85,106,95.5,140,160,150,140,160,150,1.57,1,hemisphere,60.2,68.8,64.5,60.2,68.8,64.5,0.43,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis hirsuta,Centropyxis,NA,NA,48,72,88,80,72,88,80,1.67,1,hemisphere,,,38.4,,,38.4,0.48,1,shifted ventral,slightly,curved,absence,xenosomes,absence,presence,bacterivory
Centropyxis invaginata,Centropyxis,30,60,45,100,150,125,70,102,86,2.78,0.69,hemisphere,NA,NA,70.62,NA,NA,48.59,0.56,0.69,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis kurakchayensis,Centropyxis,42,52,47,190,210,200,100,120,110,4.26,0.55,hemisphere,70,80,75,55,60,57.5,0.38,0.77,central ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis laevigata,Centropyxis,14,42,28,61,135,98,61,135,98,3.5,1,hemisphere,15,61,38,15,61,38,0.39,1,shifted ventral,strongly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis latior,Centropyxis,NA,NA,95,NA,NA,104,NA,NA,93.6,1.09,0.9,hemisphere,NA,NA,60,NA,NA,54,0.58,0.9,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis marsupiformis,Centropyxis,171,257,214,114,165,139.5,NA,NA,113,0.65,0.81,hemisphere,NA,NA,84.96,NA,NA,68.81,0.61,0.81,shifted ventral,absent,straight,absence,xenosomes,absence,presence,mixotrophy
Centropyxis minuta,Centropyxis,35,40,37.5,35,60,47.5,35,60,47.5,1.27,1,hemisphere,15,25,20,15,25,20,0.42,1,shifted ventral,absent,straight,absence,xenosomes,absence,presence,bacterivory
Centropyxis orbicularis,Centropyxis,70,90,80,100,140,120,100,140,120,1.5,1,hemisphere,NA,NA,71.9,NA,NA,35.95,0.6,0.5,shifted ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis plagiostoma,Centropyxis,NA,NA,29.62,56,102,79,56,102,79,2.67,1,hemisphere,NA,NA,29.2,NA,NA,23.36,0.37,0.8,shifted ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis platystoma,Centropyxis,63,95,79,36,64,50,NA,NA,50,0.63,1,hemisphere,NA,NA,42.6,NA,NA,42.6,0.85,1,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis sphagnicola,Centropyxis,28.75,34.5,31.63,49,66,57.5,49,66,57.5,1.82,1,hemisphere,25,37,31,25,37,31,0.54,1,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Centropyxis spinosa,Centropyxis,30,40,35,120,140,130,120,140,130,3.71,1,hemisphere,NA,NA,32.6,NA,NA,32.6,0.25,1,shifted ventral,slightly,lobbed,absence,xenosomes,absence,presence,bacterivory
Centropyxis sylvatica,Centropyxis,NA,NA,56.84,65,100,82.5,60,85,72.5,1.45,0.88,hemisphere,40,50,45,20,25,22.5,0.55,0.5,shifted ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Centropyxis sylvatica minor,Centropyxis,NA,NA,31.35,43,48,45.5,38,42,40,1.45,0.88,hemisphere,NA,NA,18.84,NA,NA,16.56,0.41,0.88,shifted ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Conicocassis pontigulasiformis,Conicocassis,NA,NA,62,82,90,86,58,66,62,1.39,0.72,hemisphere,8,10,9,5.77,7.21,6.49,0.1,0.72,shifted ventral,absent,straight,absence,xenosomes,presence,absence,bacterivory
Corythion delamarei,Corythion,23,27,25,12,15,13.5,9.5,11.88,10.69,0.54,0.79,ovoid,4.25,5.31,4.78,3.36,4.21,3.78,0.35,0.79,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Corythion dubium,Corythion,35,73,54,25,46,35.5,19.83,36.48,28.16,0.66,0.79,ovoid,9,20,14.5,7,16,11.5,0.41,0.79,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Corythion dubium minima,Corythion,18,25,21.5,11.83,16.42,14.13,9.38,13.03,11.2,0.66,0.79,ovoid,9,20,14.5,7,16,11.5,1.03,0.79,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Corythion orbicularis,Corythion,34,67,50.5,20,53,36.5,14.07,37.3,25.69,0.72,0.7,ovoid,7,20,13.5,5,14,9.5,0.37,0.7,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Cryptodifflugia angusta,Cryptodifflugia,17,20.4,18.7,11.9,13.6,12.75,11.9,13.6,12.75,0.68,1,ovoid,2.7,3.8,3.25,2.7,3.8,3.25,0.25,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia apiculata,Cryptodifflugia,NA,NA,40,28,30,29,NA,NA,29,0.73,1,ovoid,NA,NA,9.28,NA,NA,9.28,0.32,1,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia compressa,Cryptodifflugia,13,21,17,9,21,15,5.47,12.77,9.12,0.88,0.61,ovoid,3.19,7.43,5.31,1.94,4.52,3.23,0.35,0.61,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia crenulata,Cryptodifflugia,15,20,17.5,10,16,13,10,16,13,0.74,1,ovoid,NA,NA,4,NA,NA,4,0.31,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia horrida,Cryptodifflugia,13,17,15,12,15,13.5,12,15,13.5,0.9,1,ovoid,8,11,9.5,8,11,9.5,0.7,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia minuta,Cryptodifflugia,10,13,11.5,8,9,8.5,NA,NA,8.5,0.74,1,pyriform,NA,NA,3.65,NA,NA,3.65,0.43,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia oviformis,Cryptodifflugia,15,18,16.5,8,15,11.5,8,15,11.5,0.7,1,ovoid,5,6,5.5,5,6,5.5,0.48,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia oviformis fuscum,Cryptodifflugia,15,18,16.5,8,15,11.5,8,15,11.5,0.7,1,ovoid,5,6,5.5,5,6,5.5,0.48,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia pusilla,Cryptodifflugia,NA,NA,10,NA,NA,10,NA,NA,10,1,1,hemisphere,NA,NA,10,NA,NA,10,1,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia sacculus,Cryptodifflugia,16,30,23,15,22,18.5,NA,NA,18.5,0.8,1,pyriform,NA,NA,11.73,NA,NA,11.73,0.63,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia splendida,Cryptodifflugia,24,27,25.5,16,24,20,16,24,20,0.78,1,ovoid,5,6,5.5,5,6,5.5,0.28,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cryptodifflugia voigti,Cryptodifflugia,24,27,25.5,13,17,15,13,17,15,0.59,1,pyriform,5,6,5.5,5,6,5.5,0.37,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Cucurbitella lunaris,Cucurbitella,NA,NA,190,NA,NA,200,NA,NA,200,1.05,1,ovoid,NA,NA,35,NA,NA,35,0.17,1,straight terminal,absent,lobbed,absence,xenosomes,absence,absence,bacterivory
Cucurbitella mespiliformis,Cucurbitella,115,140,127.5,75,105,90,75,105,90,0.71,1,ovoid,15,18,16.5,15,18,16.5,0.18,1,straight terminal,absent,lobbed,presence,xenosomes,absence,absence,mixotrophy
Cucurbitella modesta,Cucurbitella,78,95,86.5,70,75,72.5,70,75,72.5,0.84,1,ovoid,8,15,11.5,8,15,11.5,0.16,1,straight terminal,absent,lobbed,presence,xenosomes,absence,absence,bacterivory
Cyclopyxis ambigua,Cyclopyxis,42,45,43.5,40,55,47.5,40,55,47.5,1.09,1,hemisphere,10,15,12.5,10,15,12.5,0.26,1,central ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis aplanata microstoma,Cyclopyxis,40,42,41,125,126,125.5,125,126,125.5,3.06,1,hemisphere,NA,NA,26,NA,NA,26,0.21,1,central ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis arcelloides,Cyclopyxis,90,100,95,100,120,110,100,120,110,1.16,1,hemisphere,NA,NA,50,NA,NA,50,0.45,1,central ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis eurystoma,Cyclopyxis,30,50,40,40,80,60,40,80,60,1.5,1,hemisphere,22,34,28,22,34,28,0.47,1,central ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis kahli,Cyclopyxis,50,87,68.5,80,120,100,80,120,100,1.46,1,hemisphere,20,50,35,20,50,35,0.35,1,central ventral,strongly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis plana,Cyclopyxis,NA,NA,17,NA,NA,34,NA,NA,34,2,1,hemisphere,NA,NA,25,NA,NA,25,0.74,1,central ventral,strongly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis puteus,Cyclopyxis,110,120,115,145,163,154,NA,NA,154,1.34,1,hemisphere,25,35,30,25,35,30,0.19,1,central ventral,strongly,straight,absence,xenosomes,absence,absence,bacterivory
Cyclopyxis tronconica,Cyclopyxis,70,75,72.5,63,68,65.5,NA,NA,65.5,0.9,1,hemisphere,40,43,41.5,40,43,41.5,0.63,1,central ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Cyphoderia ampulla,Cyphoderia,80,130,105,40,80,60,NA,NA,60,0.57,1,pyriform,16,28,22,16,28,22,0.37,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia ampulla crassa,Cyphoderia,100,120,110,38,75,56.5,NA,NA,56.5,0.51,1,pyriform,16,28,22,16,28,22,0.39,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia ampulla papillata,Cyphoderia,110,120,115,43,49,46,NA,NA,46,0.4,1,pyriform,14,16,15,14,16,15,0.33,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia ampulla virtae,Cyphoderia,87,120,103.5,32,50,41,NA,NA,41,0.4,1,pyriform,12,18,15,12,18,15,0.37,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia calceolus,Cyphoderia,150,185,167.5,65,80,72.5,NA,NA,72.5,0.43,1,pyriform,19,32,25.5,19,32,25.5,0.35,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia compressa,Cyphoderia,82,112,97,30,46,38,NA,NA,38,0.39,1,pyriform,10,18,14,10,18,14,0.37,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia trochus,Cyphoderia,100,125,112.5,30,40,35,NA,NA,35,0.31,1,pyriform,15,18,16.5,15,18,16.5,0.47,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Cyphoderia ventricosa,Cyphoderia,70,80,75,40,43,41.5,NA,NA,41.5,0.55,1,pyriform,12,14,13,NA,NA,13,0.31,1,sub terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Difflugia acuminata,Difflugia,150,300,225,50,100,75,50,100,75,0.33,1,pyriform,25,62.1,43.55,25,62.1,43.55,0.58,1,straight terminal,absent,straight,absence,xenosomes,absence,presence,bacterivory
Difflugia acutissima,Difflugia,178,265,221.5,80,110,95,80,110,95,0.43,1,ovoid,40,51,45.5,40,51,45.5,0.48,1,straight terminal,absent,straight,absence,xenosomes,absence,presence,bacterivory
Difflugia acutissimella,Difflugia,100,126,113,45,58,51.5,45,58,51.5,0.46,1,ovoid,22,24,23,22,24,23,0.45,1,straight terminal,absent,straight,absence,xenosomes,absence,presence,bacterivory
Difflugia amphoralis,Difflugia,NA,NA,109,NA,NA,62,NA,NA,62,0.57,1,pyriform,NA,NA,28,NA,NA,28,0.45,1,straight terminal,absent,straight,presence,xenosomes,absence,absence,bacterivory
Difflugia ampla,Difflugia,145,150,147.5,130,138,134,130,138,134,0.91,1,pyriform,45,48,46.5,45,48,46.5,0.35,1,straight terminal,absent,denticular,absence,xenosomes,absence,absence,bacterivory
